Counter,BlockNumber,TrialNumber,X,Y,DistanceToStart,DistanceToTarget,StartX,StartY,StartClicked,IsTargetClicked,TargetX,TargetY,TargetHeightPx,TargetWidthPx,TrialDirection,TrialId,TimeIntervalMilliseconds,TimeIntervalSeconds,ClickDuration,Timestamp
1,,1,462,527,6.133253030291945,,468.0511811023622,526,false,false,786.9488188976378,526,11.811023622047244,11.811023622047244,Right,3,,0,0,2023-10-24 13:45:30.389
2,,1,784,527,315.9504014284716,,468.0511811023622,526,true,false,786.9488188976378,526,11.811023622047244,11.811023622047244,Right,3,,0,0,2023-10-24 13:45:31.259
3,,2,798,528,11.23069916600063,,786.9488188976378,526,false,false,468.0511811023622,526,29.52755905511811,44.29133858267717,Left,153,,0,0,2023-10-24 13:45:34.155
4,,2,485,531,301.9902138044849,,786.9488188976378,526,true,false,468.0511811023622,526,29.52755905511811,44.29133858267717,Left,153,,0,0,2023-10-24 13:45:34.956
5,,3,628,690,4.5785641227898894,,627.5,685.4488188976378,false,false,627.5,366.5511811023622,11.811023622047244,17.716535433070867,Up,106,,0,0,2023-10-24 13:45:35.851
6,,3,633,371,314.49691525692174,,627.5,685.4488188976378,true,false,627.5,366.5511811023622,11.811023622047244,17.716535433070867,Up,106,,0,0,2023-10-24 13:45:36.629
7,,4,469,525,1.3784982047556766,,468.0511811023622,526,false,false,786.9488188976378,526,23.62204724409449,11.811023622047244,Right,43,,0,0,2023-10-24 13:45:37.724
8,,4,790,524,321.95503100523837,,468.0511811023622,526,true,false,786.9488188976378,526,23.62204724409449,11.811023622047244,Right,43,,0,0,2023-10-24 13:45:38.643
