Trial ID,Shape,Direction,Interaction Device,Start Index,Target Index,Start Size,Target Width,Target Height,Amplitude
138,rectangle,Up,Mouse,2,6,10,16,8,54
74,rectangle,Up,Mouse,2,6,10,8,20,54
29,rectangle,Left,Mouse,0,4,10,15,15,110
41,rectangle,Left,Mouse,0,4,10,4,8,54
124,rectangle,Down,Mouse,6,2,10,10,4,54
88,rectangle,Down,Mouse,6,2,10,10,15,110
154,rectangle,Up,Mouse,2,6,10,15,10,54
64,rectangle,Down,Mouse,6,2,10,8,12,110
111,rectangle,Right,Mouse,4,0,10,6,4,110
93,rectangle,Left,Mouse,0,4,10,10,20,110
63,rectangle,Right,Mouse,4,0,10,8,12,110
112,rectangle,Down,Mouse,6,2,10,6,4,110
84,rectangle,Down,Mouse,6,2,10,10,15,54
100,rectangle,Down,Mouse,6,2,10,10,25,54
175,rectangle,Right,Mouse,4,0,10,25,10,110
87,rectangle,Right,Mouse,4,0,10,10,15,110
166,rectangle,Up,Mouse,2,6,10,20,10,110
40,rectangle,Down,Mouse,6,2,10,4,6,110
32,rectangle,Down,Mouse,6,2,10,15,15,110
89,rectangle,Left,Mouse,0,4,10,10,20,54
91,rectangle,Right,Mouse,4,0,10,10,20,54
123,rectangle,Right,Mouse,4,0,10,10,4,54
108,rectangle,Down,Mouse,6,2,10,6,4,54
176,rectangle,Down,Mouse,6,2,10,25,10,110
127,rectangle,Right,Mouse,4,0,10,10,4,110
126,rectangle,Up,Mouse,2,6,10,10,4,110
156,rectangle,Down,Mouse,6,2,10,15,10,54
110,rectangle,Up,Mouse,2,6,10,6,4,110
136,rectangle,Down,Mouse,6,2,10,12,8,110
47,rectangle,Right,Mouse,4,0,10,4,8,110
23,rectangle,Right,Mouse,4,0,10,10,10,110
50,rectangle,Up,Mouse,2,6,10,4,10,54
165,rectangle,Left,Mouse,0,4,10,20,10,110
114,rectangle,Up,Mouse,2,6,10,8,4,54
163,rectangle,Right,Mouse,4,0,10,20,10,54
118,rectangle,Up,Mouse,2,6,10,8,4,110
1,rectangle,Left,Mouse,0,4,10,4,4,54
73,rectangle,Left,Mouse,0,4,10,8,20,54
55,rectangle,Right,Mouse,4,0,10,4,10,110
11,rectangle,Right,Mouse,4,0,10,8,8,54
131,rectangle,Right,Mouse,4,0,10,12,8,54
103,rectangle,Right,Mouse,4,0,10,10,25,110
98,rectangle,Up,Mouse,2,6,10,10,25,54
9,rectangle,Left,Mouse,0,4,10,8,8,54
25,rectangle,Left,Mouse,0,4,10,15,15,54
79,rectangle,Right,Mouse,4,0,10,8,20,110
85,rectangle,Left,Mouse,0,4,10,10,15,110
76,rectangle,Down,Mouse,6,2,10,8,20,54
5,rectangle,Left,Mouse,0,4,10,4,4,110
16,rectangle,Down,Mouse,6,2,10,8,8,110
68,rectangle,Down,Mouse,6,2,10,8,16,54
164,rectangle,Down,Mouse,6,2,10,20,10,54
30,rectangle,Up,Mouse,2,6,10,15,15,110
102,rectangle,Up,Mouse,2,6,10,10,25,110
141,rectangle,Left,Mouse,0,4,10,16,8,110
134,rectangle,Up,Mouse,2,6,10,12,8,110
6,rectangle,Up,Mouse,2,6,10,4,4,110
45,rectangle,Left,Mouse,0,4,10,4,8,110
38,rectangle,Up,Mouse,2,6,10,4,6,110
150,rectangle,Up,Mouse,2,6,10,20,8,110
107,rectangle,Right,Mouse,4,0,10,6,4,54
167,rectangle,Right,Mouse,4,0,10,20,10,110
104,rectangle,Down,Mouse,6,2,10,10,25,110
119,rectangle,Right,Mouse,4,0,10,8,4,110
173,rectangle,Left,Mouse,0,4,10,25,10,110
48,rectangle,Down,Mouse,6,2,10,4,8,110
57,rectangle,Left,Mouse,0,4,10,8,12,54
130,rectangle,Up,Mouse,2,6,10,12,8,54
42,rectangle,Up,Mouse,2,6,10,4,8,54
174,rectangle,Up,Mouse,2,6,10,25,10,110
62,rectangle,Up,Mouse,2,6,10,8,12,110
75,rectangle,Right,Mouse,4,0,10,8,20,54
60,rectangle,Down,Mouse,6,2,10,8,12,54
155,rectangle,Right,Mouse,4,0,10,15,10,54
8,rectangle,Down,Mouse,6,2,10,4,4,110
