no,experimentType,userNumber,blockNumber,trialId,constNr,constStr,copyOfTrial,trialRep,currTravel,travelsNumber,amplitudeMM,amplitudePx,directionDegree,rect1_PressIn,rect1_ReleaseIn,rect2_PressIn,rect2_ReleaseIn,HIT,isRepetitionOfMistake,toBeRepeatedTrial,rect1_X,rect1_Y,rect1_WidthMM,rect1_HeightMM,rect1_WidthPx,rect1_HeightPx,rect2_X,rect2_Y,rect2_WidthMM,rect2_HeightMM,rect2_WidthPx,rect2_HeightPx,rect1_Press_coord_X,rect1_Press_coord_Y,rect1_Release_coord_X,rect1_Release_coord_Y,rect2_Press_coord_X,rect2_Press_coord_Y,rect2_Release_coord_X,rect2_Release_coord_Y,rect1_Press_timeT1,rect1_Release_timeT2,rect2_Press_timeT3,rect2_Release_timeT4,T2_T1_rect1_Release_rect1_Press_ms,T3_T1_rect2_Press_rect1_Press_ms,T4_T1_rect2_Release_rect1_Press_ms,T3_T2_rect2_Press_rect1_Release_ms,T4_T2_rect2_Release_rect1_Release_ms,T4_T3_rect2_Release_rect2_Press_ms,D2_D1_rect1_Release_rect1_Press_px,D3_D1_rect2_Press_rect1_Press_px,D4_D1_rect2_Release_rect1_Press_px,D3_D2_rect2_Press_rect1_Release_px,D4_D2_rect2_Release_rect1_Release_px,D4_D3_rect2_Release_rect2_Press_px,device
1,discrete,4,1,13,3,W_15_H_24_D_30_Amp_92,13,0,,,92,291.1733153216265,30,true,true,true,true,true,false,false,1070.2571072840703,596.9686921281443,10,10,31.64927340452462,31.64927340452462,810.1813009602739,429.22754308416387,15,24,47.47391010678693,75.95825617085909,1095,613,1095,613,850,501,850,501,20.04 T 22:10:51.969,20.04 T 22:10:52.099,20.04 T 22:10:54.669,20.04 T 22:10:54.818,0000130,0002700,0002849,0002570,0002719,0000149,0,269.386339668514,269.386339668514,269.386339668514,269.386339668514,0,mouse
2,discrete,4,1,12,2,W_7_H_16_D_15_Amp_200,7,5,,,200,632.9854680904924,15,true,true,true,true,true,false,false,870.0388340031974,457.04078993224834,10,10,31.64927340452462,31.64927340452462,1486.2032363081578,611.3747023258443,7,16,22.154491383167233,50.63883744723939,896,483,896,483,1491,624,1491,624,20.04 T 22:10:57.856,20.04 T 22:10:57.950,20.04 T 22:10:59.836,20.04 T 22:10:59.950,0000094,0001980,0002094,0001886,0002000,0000114,0,611.4785360092372,611.4785360092372,611.4785360092372,611.4785360092372,0,mouse
3,discrete,4,1,144,24,W_4_H_9_D_345_Amp_210,139,5,,,210,664.6347414950171,345,true,true,true,true,true,false,false,624.6342678219914,921.6370055321049,10,10,31.64927340452462,31.64927340452462,1276.1169117023446,751.19934006663,4,9,12.659709361809847,28.48434606407216,637,931,637,931,1281,768,1281,768,20.04 T 22:11:05.052,20.04 T 22:11:05.184,20.04 T 22:11:07.072,20.04 T 22:11:07.217,0000132,0002020,0002165,0001888,0002033,0000145,0,664.3079105354685,664.3079105354685,664.3079105354685,664.3079105354685,0,mouse
4,discrete,4,1,101,17,W_18_H_12_D_240_Amp_120,97,4,,,120,379.79128085429545,240,true,true,true,true,true,false,false,699.2285150474615,366.4098424473495,10,10,31.64927340452462,31.64927340452462,496.6731652585038,34.33601775124676,18,12,56.96869212814432,37.979128085429544,723,395,723,395,535,70,535,70,20.04 T 22:11:09.669,20.04 T 22:11:09.783,20.04 T 22:11:10.936,20.04 T 22:11:11.050,0000114,0001267,0001381,0001153,0001267,0000114,0,375.45838650907774,375.45838650907774,375.45838650907774,375.45838650907774,0,mouse
5,discrete,4,1,53,9,W_14_H_10_D_120_Amp_72,49,4,,,72,227.87476851257728,120,true,true,true,true,true,false,false,969.7253023214928,736.3484337966704,10,10,31.64927340452462,31.64927340452462,849.4580633842992,933.6937722100606,14,10,44.308982766334466,31.64927340452462,986,748,986,748,874,952,874,952,20.04 T 22:11:13.335,20.04 T 22:11:13.467,20.04 T 22:11:15.119,20.04 T 22:11:15.250,0000132,0001784,0001915,0001652,0001783,0000131,0,232.7230113246217,232.7230113246217,232.7230113246217,232.7230113246217,0,mouse
6,discrete,4,1,69,12,W_4_H_9_D_165_Amp_210,67,2,,,210,664.6347414950171,165,true,true,true,true,true,false,false,1131.0323560770491,442.3742289816843,10,10,31.64927340452462,31.64927340452462,498.53927623941087,615.9768217876117,4,9,12.659709361809847,28.48434606407216,1145,462,1145,462,505,627,505,627,20.04 T 22:11:17.719,20.04 T 22:11:17.833,20.04 T 22:11:19.619,20.04 T 22:11:19.733,0000114,0001900,0002014,0001786,0001900,0000114,0,660.9273787641121,660.9273787641121,660.9273787641121,660.9273787641121,0,mouse
7,discrete,4,1,104,18,W_22_H_5_D_255_Amp_87,103,1,,,87,275.3486786193642,255,true,true,true,true,true,false,false,990.2116444536421,613.588239642675,10,10,31.64927340452462,31.64927340452462,899.9565983404226,355.5341580807937,22,5,69.62840148995416,15.82463670226231,1007,626,1007,626,942,370,942,370,20.04 T 22:11:21.252,20.04 T 22:11:21.384,20.04 T 22:11:24.234,20.04 T 22:11:24.367,0000132,0002982,0003115,0002850,0002983,0000133,0,264.1230773711377,264.1230773711377,264.1230773711377,264.1230773711377,0,mouse
8,discrete,4,1,82,14,W_7_H_16_D_195_Amp_200,79,3,,,200,632.9854680904924,195,true,true,true,true,true,false,false,950.0477416378322,493.56347774654046,10,10,31.64927340452462,31.64927340452462,343.37812135422934,320.2400013102297,7,16,22.154491383167233,50.63883744723939,970,498,970,498,356,344,356,344,20.04 T 22:11:25.769,20.04 T 22:11:25.933,20.04 T 22:11:27.169,20.04 T 22:11:27.301,0000164,0001400,0001532,0001236,0001368,0000132,0,633.0181671958554,633.0181671958554,633.0181671958554,633.0181671958554,0,mouse
9,discrete,4,1,130,22,W_17_H_7_D_315_Amp_166,127,3,,,166,525.3779385151087,315,true,true,true,true,true,false,false,963.2422165741439,525.6986372117993,10,10,31.64927340452462,31.64927340452462,1323.6632738924027,158.94772521263556,17,7,53.803764787691854,22.154491383167233,979,548,979,548,1354,176,1354,176,20.04 T 22:11:28.819,20.04 T 22:11:28.933,20.04 T 22:11:30.435,20.04 T 22:11:30.567,0000114,0001616,0001748,0001502,0001634,0000132,0,528.21302520858,528.21302520858,528.21302520858,528.21302520858,0,mouse
10,discrete,4,1,112,19,W_15_H_20_D_270_Amp_231,109,3,,,231,731.0982156445186,270,true,true,true,true,true,false,false,187.80270831290943,797.7391762860802,10,10,31.64927340452462,31.64927340452462,179.8903899617781,50.81632393929928,15,20,47.47391010678693,63.29854680904924,204,812,204,811,213,80,215,80,20.04 T 22:11:32.051,20.04 T 22:11:32.165,20.04 T 22:11:33.452,20.04 T 22:11:33.586,0000114,0001401,0001535,0001287,0001421,0000134,1,732.0553257780452,732.082645607721,731.0554014573725,731.0827586532184,2,mouse
