no,experimentType,userNumber,blockNumber,trialId,constNr,constStr,copyOfTrial,trialRep,currTravel,travelsNumber,amplitudeMM,amplitudePx,directionDegree,rect1_PressIn,rect1_ReleaseIn,rect2_PressIn,rect2_ReleaseIn,HIT,isRepetitionOfMistake,toBeRepeatedTrial,rect1_X,rect1_Y,rect1_WidthMM,rect1_HeightMM,rect1_WidthPx,rect1_HeightPx,rect2_X,rect2_Y,rect2_WidthMM,rect2_HeightMM,rect2_WidthPx,rect2_HeightPx,rect1_Press_coord_X,rect1_Press_coord_Y,rect1_Release_coord_X,rect1_Release_coord_Y,rect2_Press_coord_X,rect2_Press_coord_Y,rect2_Release_coord_X,rect2_Release_coord_Y,rect1_Press_timeT1,rect1_Release_timeT2,rect2_Press_timeT3,rect2_Release_timeT4,T2_T1_rect1_Release_rect1_Press_ms,T3_T1_rect2_Press_rect1_Press_ms,T4_T1_rect2_Release_rect1_Press_ms,T3_T2_rect2_Press_rect1_Release_ms,T4_T2_rect2_Release_rect1_Release_ms,T4_T3_rect2_Release_rect2_Press_ms,D2_D1_rect1_Release_rect1_Press_px,D3_D1_rect2_Press_rect1_Press_px,D4_D1_rect2_Release_rect1_Press_px,D3_D2_rect2_Press_rect1_Release_px,D4_D2_rect2_Release_rect1_Release_px,D4_D3_rect2_Release_rect2_Press_px,device
1,reciprocal,3,1,120,35,W_22_H_5_D_255_Amp_87_T_0,120,0,0,6,87,275.3486786193642,255,true,true,true,true,true,false,false,787.2761410009148,1013.721358434703,22,5,69.62840148995416,15.82463670226231,716.0106589304102,747.7549585216906,22,5,69.62840148995416,15.82463670226231,809,1020,809,1020,748,751,748,751,20.04 T 21:59:24.808,20.04 T 21:59:24.873,20.04 T 21:59:25.910,20.04 T 21:59:25.989,0000065,0001102,0001181,0001037,0001116,0000079,0,275.82965757873103,275.82965757873103,275.82965757873103,275.82965757873103,0,mouse
2,reciprocal,3,1,121,36,W_22_H_5_D_255_Amp_87_T_1,120,0,1,6,87,275.3486786193642,255,true,true,true,true,true,false,false,787.2761410009148,1013.721358434703,22,5,69.62840148995416,15.82463670226231,716.0106589304102,747.7549585216906,22,5,69.62840148995416,15.82463670226231,748,751,748,751,808,1021,808,1021,20.04 T 21:59:25.910,20.04 T 21:59:25.989,20.04 T 21:59:28.291,20.04 T 21:59:28.340,0000079,0002381,0002430,0002302,0002351,0000049,0,276.5863337187866,276.5863337187866,276.5863337187866,276.5863337187866,0,mouse
3,reciprocal,3,1,122,35,W_22_H_5_D_255_Amp_87_T_0,120,0,2,6,87,275.3486786193642,255,true,true,true,true,true,false,false,787.2761410009148,1013.721358434703,22,5,69.62840148995416,15.82463670226231,716.0106589304102,747.7549585216906,22,5,69.62840148995416,15.82463670226231,808,1021,808,1021,735,754,735,754,20.04 T 21:59:28.291,20.04 T 21:59:28.340,20.04 T 21:59:29.388,20.04 T 21:59:29.474,0000049,0001097,0001183,0001048,0001134,0000086,0,276.79956647364895,276.79956647364895,276.79956647364895,276.79956647364895,0,mouse
4,reciprocal,3,1,123,36,W_22_H_5_D_255_Amp_87_T_1,120,0,3,6,87,275.3486786193642,255,true,true,true,true,true,false,false,787.2761410009148,1013.721358434703,22,5,69.62840148995416,15.82463670226231,716.0106589304102,747.7549585216906,22,5,69.62840148995416,15.82463670226231,735,754,735,754,815,1022,815,1022,20.04 T 21:59:29.388,20.04 T 21:59:29.474,20.04 T 21:59:30.608,20.04 T 21:59:30.671,0000086,0001220,0001283,0001134,0001197,0000063,0,279.68553770261343,279.68553770261343,279.68553770261343,279.68553770261343,0,mouse
5,reciprocal,3,1,124,35,W_22_H_5_D_255_Amp_87_T_0,120,0,4,6,87,275.3486786193642,255,true,true,true,true,true,false,false,787.2761410009148,1013.721358434703,22,5,69.62840148995416,15.82463670226231,716.0106589304102,747.7549585216906,22,5,69.62840148995416,15.82463670226231,815,1022,815,1022,749,761,749,761,20.04 T 21:59:30.608,20.04 T 21:59:30.671,20.04 T 21:59:31.525,20.04 T 21:59:31.605,0000063,0000917,0000997,0000854,0000934,0000080,0,269.21552704106796,269.21552704106796,269.21552704106796,269.21552704106796,0,mouse
6,reciprocal,3,1,125,36,W_22_H_5_D_255_Amp_87_T_1,120,0,5,6,87,275.3486786193642,255,true,true,true,true,true,false,false,787.2761410009148,1013.721358434703,22,5,69.62840148995416,15.82463670226231,716.0106589304102,747.7549585216906,22,5,69.62840148995416,15.82463670226231,749,761,749,761,799,1022,799,1023,20.04 T 21:59:31.525,20.04 T 21:59:31.605,20.04 T 21:59:33.042,20.04 T 21:59:33.108,0000080,0001517,0001583,0001437,0001503,0000066,0,265.7461194448566,266.7283262047734,265.7461194448566,266.7283262047734,1,mouse
7,reciprocal,3,1,126,35,W_22_H_5_D_255_Amp_87_T_0,120,0,6,6,87,275.3486786193642,255,true,true,true,true,true,false,false,787.2761410009148,1013.721358434703,22,5,69.62840148995416,15.82463670226231,716.0106589304102,747.7549585216906,22,5,69.62840148995416,15.82463670226231,799,1022,799,1023,741,754,740,754,20.04 T 21:59:33.042,20.04 T 21:59:33.108,20.04 T 21:59:33.875,20.04 T 21:59:33.938,0000066,0000833,0000896,0000767,0000830,0000063,1,274.20430339438514,274.41756503547657,275.1817581163403,275.3942628305826,1,mouse
8,reciprocal,3,1,36,11,W_22_H_5_D_75_Amp_87_T_0,36,0,0,6,87,275.3486786193642,75,true,true,true,true,true,false,false,524.6409607610017,658.4915742259835,22,5,69.62840148995416,15.82463670226231,595.9064428315064,924.4579741389961,22,5,69.62840148995416,15.82463670226231,545,668,545,668,629,929,629,929,20.04 T 21:59:35.041,20.04 T 21:59:35.106,20.04 T 21:59:36.259,20.04 T 21:59:36.323,0000065,0001218,0001282,0001153,0001217,0000064,0,274.184244623939,274.184244623939,274.184244623939,274.184244623939,0,mouse
9,reciprocal,3,1,37,12,W_22_H_5_D_75_Amp_87_T_1,36,0,1,6,87,275.3486786193642,75,true,true,true,true,true,false,false,524.6409607610017,658.4915742259835,22,5,69.62840148995416,15.82463670226231,595.9064428315064,924.4579741389961,22,5,69.62840148995416,15.82463670226231,629,929,629,929,567,672,567,672,20.04 T 21:59:36.259,20.04 T 21:59:36.323,20.04 T 21:59:37.125,20.04 T 21:59:37.207,0000064,0000866,0000948,0000802,0000884,0000082,0,264.372842780797,264.372842780797,264.372842780797,264.372842780797,0,mouse
10,reciprocal,3,1,38,11,W_22_H_5_D_75_Amp_87_T_0,36,0,2,6,87,275.3486786193642,75,true,true,true,true,true,false,false,524.6409607610017,658.4915742259835,22,5,69.62840148995416,15.82463670226231,595.9064428315064,924.4579741389961,22,5,69.62840148995416,15.82463670226231,567,672,567,672,618,928,617,928,20.04 T 21:59:37.125,20.04 T 21:59:37.207,20.04 T 21:59:38.542,20.04 T 21:59:38.622,0000082,0001417,0001497,0001335,0001415,0000080,0,261.03064954139006,260.83711392361323,261.03064954139006,260.83711392361323,1,mouse
