no,experimentType,userNumber,blockNumber,trialId,constNr,constStr,copyOfTrial,trialRep,currTravel,travelsNumber,amplitudeMM,amplitudePx,directionDegree,rect1_PressIn,rect1_ReleaseIn,rect2_PressIn,rect2_ReleaseIn,HIT,isRepetitionOfMistake,toBeRepeatedTrial,rect1_X,rect1_Y,rect1_WidthMM,rect1_HeightMM,rect1_WidthPx,rect1_HeightPx,rect2_X,rect2_Y,rect2_WidthMM,rect2_HeightMM,rect2_WidthPx,rect2_HeightPx,rect1_Press_coord_X,rect1_Press_coord_Y,rect1_Release_coord_X,rect1_Release_coord_Y,rect2_Press_coord_X,rect2_Press_coord_Y,rect2_Release_coord_X,rect2_Release_coord_Y,rect1_Press_timeT1,rect1_Release_timeT2,rect2_Press_timeT3,rect2_Release_timeT4,T2_T1_rect1_Release_rect1_Press_ms,T3_T1_rect2_Press_rect1_Press_ms,T4_T1_rect2_Release_rect1_Press_ms,T3_T2_rect2_Press_rect1_Release_ms,T4_T2_rect2_Release_rect1_Release_ms,T4_T3_rect2_Release_rect2_Press_ms,D2_D1_rect1_Release_rect1_Press_px,D3_D1_rect2_Press_rect1_Press_px,D4_D1_rect2_Release_rect1_Press_px,D3_D2_rect2_Press_rect1_Release_px,D4_D2_rect2_Release_rect1_Release_px,D4_D3_rect2_Release_rect2_Press_px,device
1,reciprocal,5,1,106,31,W_12_H_6_D_225_Amp_365_T_0,106,0,0,6,365,1155.1984792651485,225,true,true,false,false,false,false,true,1033.2695481672886,858.4976490395064,12,6,37.979128085429544,18.989564042714772,216.42086986251465,41.64897073473268,12,6,37.979128085429544,18.989564042714772,1057,876,1057,876,246,64,246,64,20.04 T 22:33:00.831,20.04 T 22:33:01.013,20.04 T 22:33:03.746,20.04 T 22:33:03.894,0000182,0002915,0003063,0002733,0002881,0000148,0,1147.6345237051733,1147.6345237051733,1147.6345237051733,1147.6345237051733,0,mouse
2,reciprocal,5,1,107,32,W_12_H_6_D_225_Amp_365_T_1,106,0,1,6,365,1155.1984792651485,225,false,false,true,true,true,false,true,1033.2695481672886,858.4976490395064,12,6,37.979128085429544,18.989564042714772,216.42086986251465,41.64897073473268,12,6,37.979128085429544,18.989564042714772,246,64,246,64,1048,877,1048,877,20.04 T 22:33:03.746,20.04 T 22:33:03.894,20.04 T 22:33:08.946,20.04 T 22:33:09.111,0000148,0005200,0005365,0005052,0005217,0000165,0,1142.0039404485433,1142.0039404485433,1142.0039404485433,1142.0039404485433,0,mouse
3,reciprocal,5,1,108,31,W_12_H_6_D_225_Amp_365_T_0,106,0,2,6,365,1155.1984792651485,225,true,true,true,true,true,false,true,1033.2695481672886,858.4976490395064,12,6,37.979128085429544,18.989564042714772,216.42086986251465,41.64897073473268,12,6,37.979128085429544,18.989564042714772,1048,877,1048,877,240,60,240,60,20.04 T 22:33:08.946,20.04 T 22:33:09.111,20.04 T 22:33:11.530,20.04 T 22:33:11.730,0000165,0002584,0002784,0002419,0002619,0000200,0,1149.0661425696956,1149.0661425696956,1149.0661425696956,1149.0661425696956,0,mouse
4,reciprocal,5,1,109,32,W_12_H_6_D_225_Amp_365_T_1,106,0,3,6,365,1155.1984792651485,225,true,true,false,false,false,false,true,1033.2695481672886,858.4976490395064,12,6,37.979128085429544,18.989564042714772,216.42086986251465,41.64897073473268,12,6,37.979128085429544,18.989564042714772,240,60,240,60,1075,864,1075,864,20.04 T 22:33:11.530,20.04 T 22:33:11.730,20.04 T 22:33:14.412,20.04 T 22:33:14.610,0000200,0002882,0003080,0002682,0002880,0000198,0,1159.1552958943853,1159.1552958943853,1159.1552958943853,1159.1552958943853,0,mouse
5,reciprocal,5,1,64,19,W_13_H_7_D_135_Amp_166_T_0,64,0,0,6,166,525.3779385151087,135,true,true,true,true,true,false,false,589.3689999302857,81.32790258730611,13,7,41.144055425882,22.154491383167233,217.87069692044332,452.8262055971485,13,7,41.144055425882,22.154491383167233,611,101,611,101,225,458,225,458,20.04 T 22:33:20.296,20.04 T 22:33:20.462,20.04 T 22:33:22.814,20.04 T 22:33:22.946,0000166,0002518,0002650,0002352,0002484,0000132,0,525.7803723989704,525.7803723989704,525.7803723989704,525.7803723989704,0,mouse
6,reciprocal,5,1,65,20,W_13_H_7_D_135_Amp_166_T_1,64,0,1,6,166,525.3779385151087,135,true,true,true,true,true,false,false,589.3689999302857,81.32790258730611,13,7,41.144055425882,22.154491383167233,217.87069692044332,452.8262055971485,13,7,41.144055425882,22.154491383167233,225,458,225,458,622,101,622,101,20.04 T 22:33:22.814,20.04 T 22:33:22.946,20.04 T 22:33:28.546,20.04 T 22:33:28.729,0000132,0005732,0005915,0005600,0005783,0000183,0,533.9082318151687,533.9082318151687,533.9082318151687,533.9082318151687,0,mouse
7,reciprocal,5,1,66,19,W_13_H_7_D_135_Amp_166_T_0,64,0,2,6,166,525.3779385151087,135,true,true,true,true,true,false,false,589.3689999302857,81.32790258730611,13,7,41.144055425882,22.154491383167233,217.87069692044332,452.8262055971485,13,7,41.144055425882,22.154491383167233,622,101,622,101,230,466,230,465,20.04 T 22:33:28.546,20.04 T 22:33:28.729,20.04 T 22:33:30.963,20.04 T 22:33:31.081,0000183,0002417,0002535,0002234,0002352,0000118,0,535.620201262051,534.9392488871985,535.620201262051,534.9392488871985,1,mouse
8,reciprocal,5,1,67,20,W_13_H_7_D_135_Amp_166_T_1,64,0,3,6,166,525.3779385151087,135,true,true,true,true,true,false,false,589.3689999302857,81.32790258730611,13,7,41.144055425882,22.154491383167233,217.87069692044332,452.8262055971485,13,7,41.144055425882,22.154491383167233,230,466,230,465,628,91,628,91,20.04 T 22:33:30.963,20.04 T 22:33:31.081,20.04 T 22:33:33.813,20.04 T 22:33:33.927,0000118,0002850,0002964,0002732,0002846,0000114,1,546.8354414263947,546.8354414263947,546.1501625011202,546.1501625011202,0,mouse
9,reciprocal,5,1,68,19,W_13_H_7_D_135_Amp_166_T_0,64,0,4,6,166,525.3779385151087,135,true,true,true,true,true,false,false,589.3689999302857,81.32790258730611,13,7,41.144055425882,22.154491383167233,217.87069692044332,452.8262055971485,13,7,41.144055425882,22.154491383167233,628,91,628,91,235,462,236,462,20.04 T 22:33:33.813,20.04 T 22:33:33.927,20.04 T 22:33:36.363,20.04 T 22:33:36.445,0000114,0002550,0002632,0002436,0002518,0000082,0,540.4535132645545,539.7267827336345,540.4535132645545,539.7267827336345,1,mouse
10,reciprocal,5,1,69,20,W_13_H_7_D_135_Amp_166_T_1,64,0,5,6,166,525.3779385151087,135,true,true,true,true,true,false,false,589.3689999302857,81.32790258730611,13,7,41.144055425882,22.154491383167233,217.87069692044332,452.8262055971485,13,7,41.144055425882,22.154491383167233,235,462,236,462,628,94,627,94,20.04 T 22:33:36.363,20.04 T 22:33:36.445,20.04 T 22:33:38.946,20.04 T 22:33:39.061,0000082,0002583,0002698,0002501,0002616,0000115,1,538.3985512610524,537.6690431854897,537.6690431854897,536.9404063767226,1,mouse
11,reciprocal,5,1,70,19,W_13_H_7_D_135_Amp_166_T_0,64,0,6,6,166,525.3779385151087,135,true,true,true,true,true,false,false,589.3689999302857,81.32790258730611,13,7,41.144055425882,22.154491383167233,217.87069692044332,452.8262055971485,13,7,41.144055425882,22.154491383167233,628,94,627,94,236,474,237,474,20.04 T 22:33:38.946,20.04 T 22:33:39.061,20.04 T 22:33:41.280,20.04 T 22:33:41.430,0000115,0002334,0002484,0002219,0002369,0000150,1,545.9523788756671,545.2348118013009,545.2348118013009,544.5181356024792,1,mouse
12,reciprocal,5,1,127,37,W_15_H_20_D_270_Amp_231_T_0,127,0,0,6,231,731.0982156445186,270,true,true,true,true,true,false,false,280.5984421459881,824.6428509543255,15,20,47.47391010678693,63.29854680904924,280.598442145988,93.54463530980681,15,20,47.47391010678693,63.29854680904924,309,841,309,841,306,140,306,140,20.04 T 22:33:49.396,20.04 T 22:33:49.530,20.04 T 22:33:52.130,20.04 T 22:33:52.244,0000134,0002734,0002848,0002600,0002714,0000114,0,701.0064193714634,701.0064193714634,701.0064193714634,701.0064193714634,0,mouse
13,reciprocal,5,1,128,38,W_15_H_20_D_270_Amp_231_T_1,127,0,1,6,231,731.0982156445186,270,true,true,true,true,true,false,false,280.5984421459881,824.6428509543255,15,20,47.47391010678693,63.29854680904924,280.598442145988,93.54463530980681,15,20,47.47391010678693,63.29854680904924,306,140,306,140,289,846,292,846,20.04 T 22:33:52.130,20.04 T 22:33:52.244,20.04 T 22:33:54.764,20.04 T 22:33:54.894,0000114,0002634,0002764,0002520,0002650,0000130,0,706.2046445613339,706.1387965548982,706.2046445613339,706.1387965548982,3,mouse
14,reciprocal,5,1,129,37,W_15_H_20_D_270_Amp_231_T_0,127,0,2,6,231,731.0982156445186,270,true,true,true,true,true,false,false,280.5984421459881,824.6428509543255,15,20,47.47391010678693,63.29854680904924,280.598442145988,93.54463530980681,15,20,47.47391010678693,63.29854680904924,289,846,292,846,321,127,321,127,20.04 T 22:33:54.764,20.04 T 22:33:54.894,20.04 T 22:33:57.048,20.04 T 22:33:57.143,0000130,0002284,0002379,0002154,0002249,0000095,3,719.7117478546533,719.7117478546533,719.5846023922413,719.5846023922413,0,mouse
15,reciprocal,5,1,130,38,W_15_H_20_D_270_Amp_231_T_1,127,0,3,6,231,731.0982156445186,270,true,true,true,true,true,false,false,280.5984421459881,824.6428509543255,15,20,47.47391010678693,63.29854680904924,280.598442145988,93.54463530980681,15,20,47.47391010678693,63.29854680904924,321,127,321,127,302,862,302,862,20.04 T 22:33:57.048,20.04 T 22:33:57.143,20.04 T 22:33:58.946,20.04 T 22:33:59.061,0000095,0001898,0002013,0001803,0001918,0000115,0,735.24553721869,735.24553721869,735.24553721869,735.24553721869,0,mouse
16,reciprocal,5,1,131,37,W_15_H_20_D_270_Amp_231_T_0,127,0,4,6,231,731.0982156445186,270,true,true,false,false,false,false,false,280.5984421459881,824.6428509543255,15,20,47.47391010678693,63.29854680904924,280.598442145988,93.54463530980681,15,20,47.47391010678693,63.29854680904924,302,862,302,862,335,149,335,149,20.04 T 22:33:58.946,20.04 T 22:33:59.061,20.04 T 22:34:00.597,20.04 T 22:34:00.729,0000115,0001651,0001783,0001536,0001668,0000132,0,713.7632660763651,713.7632660763651,713.7632660763651,713.7632660763651,0,mouse
17,reciprocal,5,1,132,38,W_15_H_20_D_270_Amp_231_T_1,127,0,5,6,231,731.0982156445186,270,false,false,true,true,true,false,false,280.5984421459881,824.6428509543255,15,20,47.47391010678693,63.29854680904924,280.598442145988,93.54463530980681,15,20,47.47391010678693,63.29854680904924,335,149,335,149,290,840,294,840,20.04 T 22:34:00.597,20.04 T 22:34:00.729,20.04 T 22:34:02.398,20.04 T 22:34:02.527,0000132,0001801,0001930,0001669,0001798,0000129,0,692.4637174610667,692.2152844310793,692.4637174610667,692.2152844310793,4,mouse
18,reciprocal,5,1,133,37,W_15_H_20_D_270_Amp_231_T_0,127,0,6,6,231,731.0982156445186,270,true,true,false,false,false,false,false,280.5984421459881,824.6428509543255,15,20,47.47391010678693,63.29854680904924,280.598442145988,93.54463530980681,15,20,47.47391010678693,63.29854680904924,290,840,294,840,336,146,336,146,20.04 T 22:34:02.398,20.04 T 22:34:02.527,20.04 T 22:34:03.848,20.04 T 22:34:03.996,0000129,0001450,0001598,0001321,0001469,0000148,4,695.5228249310011,695.5228249310011,695.2697318307478,695.2697318307478,0,mouse
