no,experimentType,userNumber,blockNumber,trialId,constNr,constStr,copyOfTrial,trialRep,currTravel,travelsNumber,amplitudeMM,amplitudePx,directionDegree,rect1_PressIn,rect1_ReleaseIn,rect2_PressIn,rect2_ReleaseIn,HIT,isRepetitionOfMistake,toBeRepeatedTrial,rect1_X,rect1_Y,rect1_WidthMM,rect1_HeightMM,rect1_WidthPx,rect1_HeightPx,rect2_X,rect2_Y,rect2_WidthMM,rect2_HeightMM,rect2_WidthPx,rect2_HeightPx,rect1_Press_coord_X,rect1_Press_coord_Y,rect1_Release_coord_X,rect1_Release_coord_Y,rect2_Press_coord_X,rect2_Press_coord_Y,rect2_Release_coord_X,rect2_Release_coord_Y,rect1_Press_timeT1,rect1_Release_timeT2,rect2_Press_timeT3,rect2_Release_timeT4,T2_T1_rect1_Release_rect1_Press_ms,T3_T1_rect2_Press_rect1_Press_ms,T4_T1_rect2_Release_rect1_Press_ms,T3_T2_rect2_Press_rect1_Release_ms,T4_T2_rect2_Release_rect1_Release_ms,T4_T3_rect2_Release_rect2_Press_ms,D2_D1_rect1_Release_rect1_Press_px,D3_D1_rect2_Press_rect1_Press_px,D4_D1_rect2_Release_rect1_Press_px,D3_D2_rect2_Press_rect1_Release_px,D4_D2_rect2_Release_rect1_Release_px,D4_D3_rect2_Release_rect2_Press_px,device
1,discrete,1,1,4,1,W_6_H_4_D_0_Amp_409,1,3,,,409,1294.455282245057,0,true,true,false,false,false,false,false,1591.4030044202661,524.1753632977377,10,10,31.64927340452462,31.64927340452462,303.2775768561141,533.6701453190951,6,4,18.989564042714772,12.659709361809847,1607,531,1607,531,314,548,314,548,20.04 T 21:12:16.817,20.04 T 21:12:16.913,20.04 T 21:12:19.601,20.04 T 21:12:19.697,0000096,0002784,0002880,0002688,0002784,0000096,0,1293.1117507779443,1293.1117507779443,1293.1117507779443,1293.1117507779443,0,mouse
2,discrete,1,1,28,5,W_18_H_12_D_60_Amp_120,25,3,,,120,379.79128085429545,60,true,true,false,false,false,false,false,998.9543032185682,448.63257484261084,10,10,31.64927340452462,31.64927340452462,1176.190234283906,774.3765448578088,18,12,56.96869212814432,37.979128085429544,1019,478,1019,478,1213,769,1213,769,20.04 T 21:12:23.903,20.04 T 21:12:23.946,20.04 T 21:12:25.148,20.04 T 21:12:25.283,0000043,0001245,0001380,0001202,0001337,0000135,0,349.73847372000694,349.73847372000694,349.73847372000694,349.73847372000694,0,mouse
3,discrete,1,1,85,15,W_15_H_24_D_210_Amp_92,85,0,,,92,291.1733153216265,210,true,true,true,true,true,false,false,997.1681695222801,226.19621306600413,10,10,31.64927340452462,31.64927340452462,737.0923631984837,58.45506402202361,15,24,47.47391010678693,75.95825617085909,1016,228,1016,228,780,123,780,123,20.04 T 21:12:29.583,20.04 T 21:12:29.697,20.04 T 21:12:30.782,20.04 T 21:12:30.863,0000114,0001199,0001280,0001085,0001166,0000081,0,258.30408436569485,258.30408436569485,258.30408436569485,258.30408436569485,0,mouse
4,discrete,1,1,120,20,W_4_H_8_D_285_Amp_160,115,5,,,160,506.38837447239393,285,true,true,true,true,true,false,false,418.99884693444477,885.675554593286,10,10,31.64927340452462,31.64927340452462,559.5565844877647,399.7068728983132,4,8,12.659709361809847,25.319418723619695,438,889,438,889,569,421,569,421,20.04 T 21:12:33.315,20.04 T 21:12:33.430,20.04 T 21:12:36.447,20.04 T 21:12:36.581,0000115,0003132,0003266,0003017,0003151,0000134,0,485.98868299580806,485.98868299580806,485.98868299580806,485.98868299580806,0,mouse
5,discrete,1,1,61,11,W_5_H_10_D_150_Amp_400,61,0,,,400,1265.9709361809848,150,true,true,true,true,true,false,false,1563.6623163276718,335.5013164154348,10,10,31.64927340452462,31.64927340452462,475.2116434933017,968.4867845059271,5,10,15.82463670226231,31.64927340452462,1590,344,1590,344,484,988,484,988,20.04 T 21:12:40.316,20.04 T 21:12:40.465,20.04 T 21:12:42.416,20.04 T 21:12:42.514,0000149,0002100,0002198,0001951,0002049,0000098,0,1279.8328015799564,1279.8328015799564,1279.8328015799564,1279.8328015799564,0,mouse
6,discrete,1,1,47,8,W_4_H_8_D_105_Amp_160,43,4,,,160,506.38837447239393,105,true,true,true,true,true,false,false,1472.7899578252309,436.30512222555046,10,10,31.64927340452462,31.64927340452462,1351.2217843146257,928.6036586014282,4,8,12.659709361809847,25.319418723619695,1489,450,1489,450,1361,936,1361,936,20.04 T 21:12:45.415,20.04 T 21:12:45.497,20.04 T 21:12:47.766,20.04 T 21:12:47.900,0000082,0002351,0002485,0002269,0002403,0000134,0,502.5733777270738,502.5733777270738,502.5733777270738,502.5733777270738,0,mouse
7,discrete,1,1,102,17,W_18_H_12_D_240_Amp_120,97,5,,,120,379.79128085429545,240,true,true,true,true,true,false,false,572.4642276089551,564.7618142565265,10,10,31.64927340452462,31.64927340452462,369.9088778199973,232.68798956042374,18,12,56.96869212814432,37.979128085429544,588,575,588,575,402,265,402,265,20.04 T 21:12:49.399,20.04 T 21:12:49.499,20.04 T 21:12:50.884,20.04 T 21:12:50.997,0000100,0001485,0001598,0001385,0001498,0000113,0,361.51901748040865,361.51901748040865,361.51901748040865,361.51901748040865,0,mouse
8,discrete,1,1,65,11,W_5_H_10_D_150_Amp_400,61,4,,,400,1265.9709361809848,150,true,true,true,true,true,false,false,1460.5944339195867,322.2048529025359,10,10,31.64927340452462,31.64927340452462,372.1437610852166,955.1903209930282,5,10,15.82463670226231,31.64927340452462,1474,338,1474,338,385,981,385,981,20.04 T 21:12:52.649,20.04 T 21:12:52.764,20.04 T 21:12:54.716,20.04 T 21:12:54.832,0000115,0002067,0002183,0001952,0002068,0000116,0,1264.6620101829578,1264.6620101829578,1264.6620101829578,1264.6620101829578,0,mouse
9,discrete,1,1,17,3,W_15_H_24_D_30_Amp_92,13,4,,,92,291.1733153216265,30,true,true,true,true,true,false,false,871.947373310502,689.2439748118579,10,10,31.64927340452462,31.64927340452462,1116.1985429320362,812.6761410895039,15,24,47.47391010678693,75.95825617085909,896,714,896,714,1121,832,1121,832,20.04 T 21:12:56.382,20.04 T 21:12:56.481,20.04 T 21:12:57.416,20.04 T 21:12:57.513,0000099,0001034,0001131,0000935,0001032,0000097,0,254.0649523251879,254.0649523251879,254.0649523251879,254.0649523251879,0,mouse
10,discrete,1,1,52,9,W_14_H_10_D_120_Amp_72,49,3,,,72,227.87476851257728,120,true,true,true,true,true,false,false,1299.426630169488,524.4181643913819,10,10,31.64927340452462,31.64927340452462,1179.1593912322944,721.7635028047721,14,10,44.308982766334466,31.64927340452462,1324,546,1324,546,1208,734,1208,734,20.04 T 21:12:59.684,20.04 T 21:12:59.817,20.04 T 21:13:01.333,20.04 T 21:13:01.431,0000133,0001649,0001747,0001516,0001614,0000098,0,220.90722034374522,220.90722034374522,220.90722034374522,220.90722034374522,0,mouse
