no,experimentType,userNumber,blockNumber,trialId,constNr,constStr,copyOfTrial,trialRep,currTravel,travelsNumber,amplitudeMM,amplitudePx,directionDegree,rect1_PressIn,rect1_ReleaseIn,rect2_PressIn,rect2_ReleaseIn,HIT,isRepetitionOfMistake,toBeRepeatedTrial,rect1_X,rect1_Y,rect1_WidthMM,rect1_HeightMM,rect1_WidthPx,rect1_HeightPx,rect2_X,rect2_Y,rect2_WidthMM,rect2_HeightMM,rect2_WidthPx,rect2_HeightPx,rect1_Press_coord_X,rect1_Press_coord_Y,rect1_Release_coord_X,rect1_Release_coord_Y,rect2_Press_coord_X,rect2_Press_coord_Y,rect2_Release_coord_X,rect2_Release_coord_Y,rect1_Press_timeT1,rect1_Release_timeT2,rect2_Press_timeT3,rect2_Release_timeT4,T2_T1_rect1_Release_rect1_Press_ms,T3_T1_rect2_Press_rect1_Press_ms,T4_T1_rect2_Release_rect1_Press_ms,T3_T2_rect2_Press_rect1_Release_ms,T4_T2_rect2_Release_rect1_Release_ms,T4_T3_rect2_Release_rect2_Press_ms,D2_D1_rect1_Release_rect1_Press_px,D3_D1_rect2_Press_rect1_Press_px,D4_D1_rect2_Release_rect1_Press_px,D3_D2_rect2_Press_rect1_Release_px,D4_D2_rect2_Release_rect1_Release_px,D4_D3_rect2_Release_rect2_Press_px,device
1,reciprocal,4,1,148,43,W_17_H_7_D_315_Amp_166_T_0,148,0,0,6,166,525.3779385151087,315,true,true,true,true,true,false,false,504.01858232600074,999.7955850322573,17,7,53.803764787691854,22.154491383167233,875.5168853358431,628.297282022415,17,7,53.803764787691854,22.154491383167233,535,1010,536,1010,910,649,910,649,20.04 T 22:24:58.517,20.04 T 22:24:58.629,20.04 T 22:24:59.785,20.04 T 22:24:59.895,0000112,0001268,0001378,0001156,0001266,0000110,1,520.5247352431967,520.5247352431967,519.8047710438988,519.8047710438988,0,mouse
2,reciprocal,4,1,149,44,W_17_H_7_D_315_Amp_166_T_1,148,0,1,6,166,525.3779385151087,315,true,true,true,true,true,false,false,504.01858232600074,999.7955850322573,17,7,53.803764787691854,22.154491383167233,875.5168853358431,628.297282022415,17,7,53.803764787691854,22.154491383167233,910,649,910,649,529,1013,529,1013,20.04 T 22:24:59.785,20.04 T 22:24:59.895,20.04 T 22:25:01.116,20.04 T 22:25:01.250,0000110,0001331,0001465,0001221,0001355,0000134,0,526.9316843766372,526.9316843766372,526.9316843766372,526.9316843766372,0,mouse
3,reciprocal,4,1,150,43,W_17_H_7_D_315_Amp_166_T_0,148,0,2,6,166,525.3779385151087,315,true,true,true,true,true,false,false,504.01858232600074,999.7955850322573,17,7,53.803764787691854,22.154491383167233,875.5168853358431,628.297282022415,17,7,53.803764787691854,22.154491383167233,529,1013,529,1013,896,636,896,636,20.04 T 22:25:01.116,20.04 T 22:25:01.250,20.04 T 22:25:02.350,20.04 T 22:25:02.447,0000134,0001234,0001331,0001100,0001197,0000097,0,526.1349636737707,526.1349636737707,526.1349636737707,526.1349636737707,0,mouse
4,reciprocal,4,1,151,44,W_17_H_7_D_315_Amp_166_T_1,148,0,3,6,166,525.3779385151087,315,true,true,true,true,true,false,false,504.01858232600074,999.7955850322573,17,7,53.803764787691854,22.154491383167233,875.5168853358431,628.297282022415,17,7,53.803764787691854,22.154491383167233,896,636,896,636,514,1014,514,1014,20.04 T 22:25:02.350,20.04 T 22:25:02.447,20.04 T 22:25:04.267,20.04 T 22:25:04.380,0000097,0001917,0002030,0001820,0001933,0000113,0,537.4085968795066,537.4085968795066,537.4085968795066,537.4085968795066,0,mouse
5,reciprocal,4,1,152,43,W_17_H_7_D_315_Amp_166_T_0,148,0,4,6,166,525.3779385151087,315,true,true,true,true,true,false,false,504.01858232600074,999.7955850322573,17,7,53.803764787691854,22.154491383167233,875.5168853358431,628.297282022415,17,7,53.803764787691854,22.154491383167233,514,1014,514,1014,910,647,910,647,20.04 T 22:25:04.267,20.04 T 22:25:04.380,20.04 T 22:25:05.615,20.04 T 22:25:05.748,0000113,0001348,0001481,0001235,0001368,0000133,0,539.9120298715338,539.9120298715338,539.9120298715338,539.9120298715338,0,mouse
6,reciprocal,4,1,153,44,W_17_H_7_D_315_Amp_166_T_1,148,0,5,6,166,525.3779385151087,315,true,true,true,true,true,false,false,504.01858232600074,999.7955850322573,17,7,53.803764787691854,22.154491383167233,875.5168853358431,628.297282022415,17,7,53.803764787691854,22.154491383167233,910,647,910,647,526,1015,529,1014,20.04 T 22:25:05.615,20.04 T 22:25:05.748,20.04 T 22:25:07.598,20.04 T 22:25:07.697,0000133,0001983,0002082,0001850,0001949,0000099,0,531.8646444350292,529.0085065478626,531.8646444350292,529.0085065478626,3.1622776601683795,mouse
7,reciprocal,4,1,154,43,W_17_H_7_D_315_Amp_166_T_0,148,0,6,6,166,525.3779385151087,315,true,true,true,true,true,false,false,504.01858232600074,999.7955850322573,17,7,53.803764787691854,22.154491383167233,875.5168853358431,628.297282022415,17,7,53.803764787691854,22.154491383167233,526,1015,529,1014,911,646,911,646,20.04 T 22:25:07.598,20.04 T 22:25:07.697,20.04 T 22:25:09.116,20.04 T 22:25:09.197,0000099,0001518,0001599,0001419,0001500,0000081,3.1622776601683795,533.2785388518837,533.2785388518837,530.4224731287316,530.4224731287316,0,mouse
8,reciprocal,4,1,92,27,W_7_H_16_D_195_Amp_200_T_0,92,0,0,6,200,632.9854680904924,195,true,true,true,true,true,false,true,728.9375138689626,499.5955813789567,7,16,22.154491383167233,50.63883744723939,117.52050257468099,335.76688696400333,7,16,22.154491383167233,50.63883744723939,733,519,733,519,128,354,128,354,20.04 T 22:25:10.533,20.04 T 22:25:10.665,20.04 T 22:25:12.033,20.04 T 22:25:12.166,0000132,0001500,0001633,0001368,0001501,0000133,0,627.0964838045259,627.0964838045259,627.0964838045259,627.0964838045259,0,mouse
9,reciprocal,4,1,93,28,W_7_H_16_D_195_Amp_200_T_1,92,0,1,6,200,632.9854680904924,195,true,true,true,true,true,false,true,728.9375138689626,499.5955813789567,7,16,22.154491383167233,50.63883744723939,117.52050257468099,335.76688696400333,7,16,22.154491383167233,50.63883744723939,128,354,128,354,738,519,737,518,20.04 T 22:25:12.033,20.04 T 22:25:12.166,20.04 T 22:25:13.181,20.04 T 22:25:13.279,0000133,0001148,0001246,0001015,0001113,0000098,0,631.9216723613774,630.6956476780223,631.9216723613774,630.6956476780223,1.4142135623730951,mouse
10,reciprocal,4,1,94,27,W_7_H_16_D_195_Amp_200_T_0,92,0,2,6,200,632.9854680904924,195,true,true,true,true,true,false,true,728.9375138689626,499.5955813789567,7,16,22.154491383167233,50.63883744723939,117.52050257468099,335.76688696400333,7,16,22.154491383167233,50.63883744723939,738,519,737,518,134,354,134,354,20.04 T 22:25:13.181,20.04 T 22:25:13.279,20.04 T 22:25:14.268,20.04 T 22:25:14.398,0000098,0001087,0001217,0000989,0001119,0000130,1.4142135623730951,626.1317752677945,626.1317752677945,624.9039926260673,624.9039926260673,0,mouse
11,reciprocal,4,1,95,28,W_7_H_16_D_195_Amp_200_T_1,92,0,3,6,200,632.9854680904924,195,true,true,true,true,true,false,true,728.9375138689626,499.5955813789567,7,16,22.154491383167233,50.63883744723939,117.52050257468099,335.76688696400333,7,16,22.154491383167233,50.63883744723939,134,354,134,354,748,510,748,510,20.04 T 22:25:14.268,20.04 T 22:25:14.398,20.04 T 22:25:15.565,20.04 T 22:25:15.631,0000130,0001297,0001363,0001167,0001233,0000066,0,633.5076952965923,633.5076952965923,633.5076952965923,633.5076952965923,0,mouse
12,reciprocal,4,1,96,27,W_7_H_16_D_195_Amp_200_T_0,92,0,4,6,200,632.9854680904924,195,true,true,false,false,false,false,true,728.9375138689626,499.5955813789567,7,16,22.154491383167233,50.63883744723939,117.52050257468099,335.76688696400333,7,16,22.154491383167233,50.63883744723939,748,510,748,510,973,652,973,652,20.04 T 22:25:15.565,20.04 T 22:25:15.631,20.04 T 22:25:17.866,20.04 T 22:25:17.981,0000066,0002301,0002416,0002235,0002350,0000115,0,266.0620228442985,266.0620228442985,266.0620228442985,266.0620228442985,0,mouse
