no,experimentType,userNumber,blockNumber,trialId,constNr,constStr,copyOfTrial,trialRep,currTravel,travelsNumber,amplitudeMM,amplitudePx,directionDegree,rect1_PressIn,rect1_ReleaseIn,rect2_PressIn,rect2_ReleaseIn,HIT,isRepetitionOfMistake,toBeRepeatedTrial,rect1_X,rect1_Y,rect1_WidthMM,rect1_HeightMM,rect1_WidthPx,rect1_HeightPx,rect2_X,rect2_Y,rect2_WidthMM,rect2_HeightMM,rect2_WidthPx,rect2_HeightPx,rect1_Press_coord_X,rect1_Press_coord_Y,rect1_Release_coord_X,rect1_Release_coord_Y,rect2_Press_coord_X,rect2_Press_coord_Y,rect2_Release_coord_X,rect2_Release_coord_Y,rect1_Press_timeT1,rect1_Release_timeT2,rect2_Press_timeT3,rect2_Release_timeT4,T2_T1_rect1_Release_rect1_Press_ms,T3_T1_rect2_Press_rect1_Press_ms,T4_T1_rect2_Release_rect1_Press_ms,T3_T2_rect2_Press_rect1_Release_ms,T4_T2_rect2_Release_rect1_Release_ms,T4_T3_rect2_Release_rect2_Press_ms,D2_D1_rect1_Release_rect1_Press_px,D3_D1_rect2_Press_rect1_Press_px,D4_D1_rect2_Release_rect1_Press_px,D3_D2_rect2_Press_rect1_Release_px,D4_D2_rect2_Release_rect1_Release_px,D4_D3_rect2_Release_rect2_Press_px,device
1,discrete,2,1,90,15,W_15_H_24_D_210_Amp_92,85,5,,,92,291.1733153216265,210,true,true,true,true,true,false,false,818.0936193114051,451.3820344673311,10,10,31.64927340452462,31.64927340452462,1062.344788932939,574.814200744977,15,24,47.47391010678693,75.95825617085909,844,480,844,480,1070,583,1070,583,20.04 T 21:33:48.196,20.04 T 21:33:48.362,20.04 T 21:33:49.461,20.04 T 21:33:49.612,0000166,0001265,0001416,0001099,0001250,0000151,0,248.3646512690564,248.3646512690564,248.3646512690564,248.3646512690564,0,mouse
2,discrete,2,1,128,22,W_17_H_7_D_315_Amp_166,127,1,,,166,525.3779385151087,315,true,true,true,true,true,false,false,37.26609769335742,757.7629771159677,10,10,31.64927340452462,31.64927340452462,397.6871550116161,391.0120651168039,17,7,53.803764787691854,22.154491383167233,56,772,56,772,421,412,421,412,20.04 T 21:33:53.212,20.04 T 21:33:53.377,20.04 T 21:33:55.529,20.04 T 21:33:55.644,0000165,0002317,0002432,0002152,0002267,0000115,0,512.6646077115134,512.6646077115134,512.6646077115134,512.6646077115134,0,mouse
3,discrete,2,1,138,23,W_5_H_10_D_330_Amp_400,133,5,,,400,1265.9709361809848,330,true,true,true,true,true,false,false,26.12530860710838,987.8655917405815,10,10,31.64927340452462,31.64927340452462,1130.4006181437403,354.88012365008854,5,10,15.82463670226231,31.64927340452462,47,996,47,996,1134,365,1134,365,20.04 T 21:33:57.679,20.04 T 21:33:57.828,20.04 T 21:33:59.868,20.04 T 21:33:59.997,0000149,0002189,0002318,0002040,0002169,0000129,0,1256.8731041755966,1256.8731041755966,1256.8731041755966,1256.8731041755966,0,mouse
4,discrete,2,1,22,4,W_12_H_6_D_45_Amp_365,19,3,,,365,1155.1984792651485,45,true,true,true,true,true,false,false,691.7936748269651,72.22012656689195,10,10,31.64927340452462,31.64927340452462,1505.4774257912864,895.3986595525706,12,6,37.979128085429544,18.989564042714772,705,99,705,99,1517,913,1517,913,20.04 T 21:34:01.898,20.04 T 21:34:02.011,20.04 T 21:34:04.497,20.04 T 21:34:04.646,0000113,0002599,0002748,0002486,0002635,0000149,0,1149.7564959590356,1149.7564959590356,1149.7564959590356,1149.7564959590356,0,mouse
5,discrete,2,1,49,9,W_14_H_10_D_120_Amp_72,49,0,,,72,227.87476851257728,120,true,true,true,true,true,false,false,1015.1566145288662,503.3217175206306,10,10,31.64927340452462,31.64927340452462,894.8893755916725,700.6670559340208,14,10,44.308982766334466,31.64927340452462,1033,534,1033,534,922,716,922,716,20.04 T 21:34:06.562,20.04 T 21:34:06.678,20.04 T 21:34:07.764,20.04 T 21:34:07.929,0000116,0001202,0001367,0001086,0001251,0000165,0,213.17832910500073,213.17832910500073,213.17832910500073,213.17832910500073,0,mouse
6,discrete,2,1,108,18,W_22_H_5_D_255_Amp_87,103,5,,,87,275.3486786193642,255,true,true,true,true,true,false,false,932.4553184919384,619.2341481859291,10,10,31.64927340452462,31.64927340452462,842.200272378719,361.1800666240478,22,5,69.62840148995416,15.82463670226231,947,627,947,627,868,376,868,376,20.04 T 21:34:09.228,20.04 T 21:34:09.379,20.04 T 21:34:10.496,20.04 T 21:34:10.628,0000151,0001268,0001400,0001117,0001249,0000132,0,263.1387466717891,263.1387466717891,263.1387466717891,263.1387466717891,0,mouse
7,discrete,2,1,65,11,W_5_H_10_D_150_Amp_400,61,4,,,400,1265.9709361809848,150,true,true,true,true,true,false,false,1151.2287787960718,152.84747841093252,10,10,31.64927340452462,31.64927340452462,62.77810596170172,785.8329465014249,5,10,15.82463670226231,31.64927340452462,1168,161,1168,161,68,794,68,794,20.04 T 21:34:12.081,20.04 T 21:34:12.211,20.04 T 21:34:14.716,20.04 T 21:34:14.812,0000130,0002635,0002731,0002505,0002601,0000096,0,1269.129229038556,1269.129229038556,1269.129229038556,1269.129229038556,0,mouse
8,discrete,2,1,79,14,W_7_H_16_D_195_Amp_200,79,0,,,200,632.9854680904924,195,true,true,true,true,true,false,false,1263.9126997020844,524.2052420589754,10,10,31.64927340452462,31.64927340452462,657.2430794184816,350.8817656226646,7,16,22.154491383167233,50.63883744723939,1267,534,1267,534,669,386,669,386,20.04 T 21:34:16.429,20.04 T 21:34:16.544,20.04 T 21:34:17.798,20.04 T 21:34:17.912,0000115,0001369,0001483,0001254,0001368,0000114,0,616.042206346286,616.042206346286,616.042206346286,616.042206346286,0,mouse
9,discrete,2,1,59,10,W_13_H_7_D_135_Amp_166,55,4,,,166,525.3779385151087,135,true,true,true,true,true,false,false,898.3502759447775,357.6406470338108,10,10,31.64927340452462,31.64927340452462,522.1045819242565,733.886341054332,13,7,41.144055425882,22.154491383167233,925,379,925,379,544,741,544,741,20.04 T 21:34:19.432,20.04 T 21:34:19.529,20.04 T 21:34:21.114,20.04 T 21:34:21.277,0000097,0001682,0001845,0001585,0001748,0000163,0,525.552090662762,525.552090662762,525.552090662762,525.552090662762,0,mouse
10,discrete,2,1,64,11,W_5_H_10_D_150_Amp_400,61,3,,,400,1265.9709361809848,150,true,true,true,true,true,false,false,1416.9762983847543,251.2378270289489,10,10,31.64927340452462,31.64927340452462,328.52562555038423,884.2232951194412,5,10,15.82463670226231,31.64927340452462,1433,278,1433,278,334,892,333,894,20.04 T 21:34:22.765,20.04 T 21:34:22.896,20.04 T 21:34:25.096,20.04 T 21:34:25.260,0000131,0002331,0002495,0002200,0002364,0000164,0,1258.8872070205496,1260.7362928067075,1258.8872070205496,1260.7362928067075,2.23606797749979,mouse
