no,experimentType,userNumber,blockNumber,trialId,constNr,constStr,copyOfTrial,trialRep,currTravel,travelsNumber,amplitudeMM,amplitudePx,directionDegree,rect1_PressIn,rect1_ReleaseIn,rect2_PressIn,rect2_ReleaseIn,HIT,isRepetitionOfMistake,toBeRepeatedTrial,rect1_X,rect1_Y,rect1_WidthMM,rect1_HeightMM,rect1_WidthPx,rect1_HeightPx,rect2_X,rect2_Y,rect2_WidthMM,rect2_HeightMM,rect2_WidthPx,rect2_HeightPx,rect1_Press_coord_X,rect1_Press_coord_Y,rect1_Release_coord_X,rect1_Release_coord_Y,rect2_Press_coord_X,rect2_Press_coord_Y,rect2_Release_coord_X,rect2_Release_coord_Y,rect1_Press_timeT1,rect1_Release_timeT2,rect2_Press_timeT3,rect2_Release_timeT4,T2_T1_rect1_Release_rect1_Press_ms,T3_T1_rect2_Press_rect1_Press_ms,T4_T1_rect2_Release_rect1_Press_ms,T3_T2_rect2_Press_rect1_Release_ms,T4_T2_rect2_Release_rect1_Release_ms,T4_T3_rect2_Release_rect2_Press_ms,D2_D1_rect1_Release_rect1_Press_px,D3_D1_rect2_Press_rect1_Press_px,D4_D1_rect2_Release_rect1_Press_px,D3_D2_rect2_Press_rect1_Release_px,D4_D2_rect2_Release_rect1_Release_px,D4_D3_rect2_Release_rect2_Press_px,device
1,discrete,5,1,52,9,W_14_H_10_D_120_Amp_72,49,3,,,72,227.87476851257728,120,true,true,true,true,true,false,false,887.2066711695934,622.8480325044328,10,10,31.64927340452462,31.64927340452462,994.814200744977,425.5026940910426,14,10,44.308982766334466,31.64927340452462,900,638,900,638,1037,450,1036,450,20.04 T 22:42:50.911,20.04 T 22:42:51.042,20.04 T 22:42:52.379,20.04 T 22:42:52.493,0000131,0001468,0001582,0001337,0001451,0000114,0,232.62201099638014,232.03448019637082,232.62201099638014,232.03448019637082,1,mouse
2,discrete,5,1,102,17,W_18_H_12_D_240_Amp_120,97,5,,,120,379.79128085429545,240,true,true,true,true,true,false,false,1063.9800663136546,417.20350204182904,10,10,31.64927340452462,31.64927340452462,861.4247165246968,85.12967734572631,18,12,56.96869212814432,37.979128085429544,1066,429,1066,429,889,116,889,116,20.04 T 22:42:55.426,20.04 T 22:42:55.559,20.04 T 22:42:56.544,20.04 T 22:42:56.677,0000133,0001118,0001251,0000985,0001118,0000133,0,359.58031091815917,359.58031091815917,359.58031091815917,359.58031091815917,0,mouse
3,discrete,5,1,2,1,W_6_H_4_D_0_Amp_409,1,1,,,409,1294.455282245057,0,true,true,false,false,false,false,false,472.0512105741494,918.9465545667963,10,10,31.64927340452462,31.64927340452462,1772.8363475001115,928.4413365881537,6,4,18.989564042714772,12.659709361809847,492,945,492,945,1790,944,1790,944,20.04 T 22:42:59.115,20.04 T 22:42:59.209,20.04 T 22:43:01.331,20.04 T 22:43:01.392,0000094,0002216,0002277,0002122,0002183,0000061,0,1298.000385207955,1298.000385207955,1298.000385207955,1298.000385207955,0,mouse
4,discrete,5,1,8,2,W_7_H_16_D_15_Amp_200,7,1,,,200,632.9854680904924,15,true,true,false,false,false,false,false,970.4596963809281,156.2696129860866,10,10,31.64927340452462,31.64927340452462,1586.6240986858884,310.60352537968254,7,16,22.154491383167233,50.63883744723939,985,168,986,168,1610,353,1610,353,20.04 T 22:43:03.428,20.04 T 22:43:03.525,20.04 T 22:43:05.195,20.04 T 22:43:05.293,0000097,0001767,0001865,0001670,0001768,0000098,1,651.8051856191388,651.8051856191388,650.8463720418206,650.8463720418206,0,mouse
5,discrete,5,1,89,15,W_15_H_24_D_210_Amp_92,85,4,,,92,291.1733153216265,210,true,true,true,true,true,false,false,1670.3795760170517,940.3071116623804,10,10,31.64927340452462,31.64927340452462,1410.3037696932552,772.5659626183998,15,24,47.47391010678693,75.95825617085909,1679,951,1680,951,1429,826,1429,826,20.04 T 22:43:06.795,20.04 T 22:43:06.892,20.04 T 22:43:08.161,20.04 T 22:43:08.277,0000097,0001366,0001482,0001269,0001385,0000116,1,279.5084971874737,279.5084971874737,280.40328100790833,280.40328100790833,0,mouse
6,discrete,5,1,75,13,W_6_H_4_D_180_Amp_409,73,2,,,409,1294.455282245057,180,true,true,true,true,true,false,false,1337.212498064908,886.209798048232,10,10,31.64927340452462,31.64927340452462,49.08707050075581,895.7045800695895,6,4,18.989564042714772,12.659709361809847,1354,898,1354,898,60,900,60,900,20.04 T 22:43:09.891,20.04 T 22:43:09.993,20.04 T 22:43:13.176,20.04 T 22:43:13.327,0000102,0003285,0003436,0003183,0003334,0000151,0,1294.0015455941311,1294.0015455941311,1294.0015455941311,1294.0015455941311,0,mouse
7,discrete,5,1,9,2,W_7_H_16_D_15_Amp_200,7,2,,,200,632.9854680904924,15,true,true,true,true,true,false,false,831.4689522494426,255.46606434797104,10,10,31.64927340452462,31.64927340452462,1447.6333545544028,409.799976741567,7,16,22.154491383167233,50.63883744723939,846,271,848,271,1463,443,1463,443,20.04 T 22:43:15.197,20.04 T 22:43:15.309,20.04 T 22:43:16.513,20.04 T 22:43:16.609,0000112,0001316,0001412,0001204,0001300,0000096,2,640.5255654538701,640.5255654538701,638.5992483553359,638.5992483553359,0,mouse
8,discrete,5,1,128,22,W_17_H_7_D_315_Amp_166,127,1,,,166,525.3779385151087,315,true,true,true,true,true,false,false,1126.8601586025347,555.2432637164728,10,10,31.64927340452462,31.64927340452462,1487.2812159207933,188.49235171730905,17,7,53.803764787691854,22.154491383167233,1146,573,1148,573,1518,203,1518,203,20.04 T 22:43:18.263,20.04 T 22:43:18.344,20.04 T 22:43:19.445,20.04 T 22:43:19.577,0000081,0001182,0001314,0001101,0001233,0000132,2,524.6751375851537,524.6751375851537,523.2590180780452,523.2590180780452,0,mouse
9,discrete,5,1,103,18,W_22_H_5_D_255_Amp_87,103,0,,,87,275.3486786193642,255,true,true,true,true,true,false,false,966.7136075334781,779.6168348601404,10,10,31.64927340452462,31.64927340452462,876.4585614202587,521.562753298259,22,5,69.62840148995416,15.82463670226231,978,793,980,792,937,534,937,534,20.04 T 22:43:21.011,20.04 T 22:43:21.125,20.04 T 22:43:22.461,20.04 T 22:43:22.559,0000114,0001450,0001548,0001336,0001434,0000098,2.23606797749979,262.2250941462315,262.2250941462315,261.55878880282347,261.55878880282347,0,mouse
10,discrete,5,1,105,18,W_22_H_5_D_255_Amp_87,103,2,,,87,275.3486786193642,255,true,true,true,true,true,false,false,1256.415778472968,772.3247791939202,10,10,31.64927340452462,31.64927340452462,1166.1607323597484,514.2706976320388,22,5,69.62840148995416,15.82463670226231,1265,787,1266,786,1222,523,1223,523,20.04 T 22:43:23.762,20.04 T 22:43:23.909,20.04 T 22:43:25.179,20.04 T 22:43:25.311,0000147,0001417,0001549,0001270,0001402,0000132,1.4142135623730951,267.47897113605023,267.3200329193456,266.6552080871476,266.4920261471251,1,mouse
11,discrete,5,1,86,15,W_15_H_24_D_210_Amp_92,85,1,,,92,291.1733153216265,210,true,true,true,true,true,false,false,1793.0817351200287,452.5429744341134,10,10,31.64927340452462,31.64927340452462,1533.0059287962322,284.8018253901329,15,24,47.47391010678693,75.95825617085909,1818,480,1819,479,1551,344,1554,343,20.04 T 22:43:26.611,20.04 T 22:43:26.725,20.04 T 22:43:27.380,20.04 T 22:43:27.475,0000114,0000769,0000864,0000655,0000750,0000095,1.4142135623730951,299.6414524060381,297.4306641891518,300.08165555395084,297.86070569982877,3.1622776601683795,mouse
12,discrete,5,1,70,12,W_4_H_9_D_165_Amp_210,67,3,,,210,664.6347414950171,165,true,true,true,true,true,false,false,1356.0169017159717,486.3254047511313,10,10,31.64927340452462,31.64927340452462,723.5238218783335,659.9279975570587,4,9,12.659709361809847,28.48434606407216,1370,497,1370,497,729,676,729,676,20.04 T 22:43:30.644,20.04 T 22:43:30.725,20.04 T 22:43:32.327,20.04 T 22:43:32.494,0000081,0001683,0001850,0001602,0001769,0000167,0,665.523853817427,665.523853817427,665.523853817427,665.523853817427,0,mouse
13,discrete,5,1,93,16,W_12_H_6_D_225_Amp_365,91,2,,,365,1155.1984792651485,225,true,true,true,true,true,false,false,1825.35721041893,904.6882812799143,10,10,31.64927340452462,31.64927340452462,1005.3436047737035,94.16945765604548,12,6,37.979128085429544,18.989564042714772,1854,929,1854,929,1038,107,1038,107,20.04 T 22:43:34.713,20.04 T 22:43:34.809,20.04 T 22:43:36.310,20.04 T 22:43:36.426,0000096,0001597,0001713,0001501,0001617,0000116,0,1158.2486779616888,1158.2486779616888,1158.2486779616888,1158.2486779616888,0,mouse
