no,experimentType,userNumber,blockNumber,trialId,constNr,constStr,copyOfTrial,trialRep,currTravel,travelsNumber,amplitudeMM,amplitudePx,directionDegree,rect1_PressIn,rect1_ReleaseIn,rect2_PressIn,rect2_ReleaseIn,HIT,isRepetitionOfMistake,toBeRepeatedTrial,rect1_X,rect1_Y,rect1_WidthMM,rect1_HeightMM,rect1_WidthPx,rect1_HeightPx,rect2_X,rect2_Y,rect2_WidthMM,rect2_HeightMM,rect2_WidthPx,rect2_HeightPx,rect1_Press_coord_X,rect1_Press_coord_Y,rect1_Release_coord_X,rect1_Release_coord_Y,rect2_Press_coord_X,rect2_Press_coord_Y,rect2_Release_coord_X,rect2_Release_coord_Y,rect1_Press_timeT1,rect1_Release_timeT2,rect2_Press_timeT3,rect2_Release_timeT4,T2_T1_rect1_Release_rect1_Press_ms,T3_T1_rect2_Press_rect1_Press_ms,T4_T1_rect2_Release_rect1_Press_ms,T3_T2_rect2_Press_rect1_Release_ms,T4_T2_rect2_Release_rect1_Release_ms,T4_T3_rect2_Release_rect2_Press_ms,D2_D1_rect1_Release_rect1_Press_px,D3_D1_rect2_Press_rect1_Press_px,D4_D1_rect2_Release_rect1_Press_px,D3_D2_rect2_Press_rect1_Release_px,D4_D2_rect2_Release_rect1_Release_px,D4_D3_rect2_Release_rect2_Press_px,device
1,reciprocal,7,1,113,33,W_18_H_12_D_240_Amp_120_T_0,113,0,0,6,120,379.79128085429545,240,true,true,true,true,true,false,false,637.5617546321816,762.3034245617418,18,12,56.96869212814432,37.979128085429544,447.66611420503375,433.39452720609154,18,12,56.96869212814432,37.979128085429544,660,780,660,780,499,463,499,463,20.04 T 23:17:45.084,20.04 T 23:17:45.198,20.04 T 23:17:47.118,20.04 T 23:17:47.199,0000114,0002034,0002115,0001920,0002001,0000081,0,355.5418400132395,355.5418400132395,355.5418400132395,355.5418400132395,0,mouse
2,reciprocal,7,1,114,34,W_18_H_12_D_240_Amp_120_T_1,113,0,1,6,120,379.79128085429545,240,true,true,true,true,true,false,false,637.5617546321816,762.3034245617418,18,12,56.96869212814432,37.979128085429544,447.66611420503375,433.39452720609154,18,12,56.96869212814432,37.979128085429544,499,463,499,463,681,775,681,775,20.04 T 23:17:47.118,20.04 T 23:17:47.199,20.04 T 23:17:48.886,20.04 T 23:17:48.963,0000081,0001768,0001845,0001687,0001764,0000077,0,361.20354372569494,361.20354372569494,361.20354372569494,361.20354372569494,0,mouse
3,reciprocal,7,1,115,33,W_18_H_12_D_240_Amp_120_T_0,113,0,2,6,120,379.79128085429545,240,true,true,true,true,true,false,false,637.5617546321816,762.3034245617418,18,12,56.96869212814432,37.979128085429544,447.66611420503375,433.39452720609154,18,12,56.96869212814432,37.979128085429544,681,775,681,775,480,461,480,461,20.04 T 23:17:48.886,20.04 T 23:17:48.963,20.04 T 23:17:49.981,20.04 T 23:17:50.082,0000077,0001095,0001196,0001018,0001119,0000101,0,372.8230143110803,372.8230143110803,372.8230143110803,372.8230143110803,0,mouse
4,reciprocal,7,1,116,34,W_18_H_12_D_240_Amp_120_T_1,113,0,3,6,120,379.79128085429545,240,true,true,true,true,true,false,false,637.5617546321816,762.3034245617418,18,12,56.96869212814432,37.979128085429544,447.66611420503375,433.39452720609154,18,12,56.96869212814432,37.979128085429544,480,461,480,461,670,782,670,782,20.04 T 23:17:49.981,20.04 T 23:17:50.082,20.04 T 23:17:51.252,20.04 T 23:17:51.317,0000101,0001271,0001336,0001170,0001235,0000065,0,373.0160854440462,373.0160854440462,373.0160854440462,373.0160854440462,0,mouse
5,reciprocal,7,1,117,33,W_18_H_12_D_240_Amp_120_T_0,113,0,4,6,120,379.79128085429545,240,true,true,true,true,true,false,false,637.5617546321816,762.3034245617418,18,12,56.96869212814432,37.979128085429544,447.66611420503375,433.39452720609154,18,12,56.96869212814432,37.979128085429544,670,782,670,782,495,449,495,448,20.04 T 23:17:51.252,20.04 T 23:17:51.317,20.04 T 23:17:52.200,20.04 T 23:17:52.299,0000065,0000948,0001047,0000883,0000982,0000099,0,376.18346587802074,377.068959210381,376.18346587802074,377.068959210381,1,mouse
6,reciprocal,7,1,118,34,W_18_H_12_D_240_Amp_120_T_1,113,0,5,6,120,379.79128085429545,240,true,true,true,true,true,false,false,637.5617546321816,762.3034245617418,18,12,56.96869212814432,37.979128085429544,447.66611420503375,433.39452720609154,18,12,56.96869212814432,37.979128085429544,495,449,495,448,656,776,656,776,20.04 T 23:17:52.200,20.04 T 23:17:52.299,20.04 T 23:17:53.783,20.04 T 23:17:53.849,0000099,0001583,0001649,0001484,0001550,0000066,1,364.4859393721519,364.4859393721519,365.3833603217311,365.3833603217311,0,mouse
7,reciprocal,7,1,119,33,W_18_H_12_D_240_Amp_120_T_0,113,0,6,6,120,379.79128085429545,240,true,true,true,true,true,false,false,637.5617546321816,762.3034245617418,18,12,56.96869212814432,37.979128085429544,447.66611420503375,433.39452720609154,18,12,56.96869212814432,37.979128085429544,656,776,656,776,458,450,458,450,20.04 T 23:17:53.783,20.04 T 23:17:53.849,20.04 T 23:17:54.968,20.04 T 23:17:55.032,0000066,0001185,0001249,0001119,0001183,0000064,0,381.41840542899865,381.41840542899865,381.41840542899865,381.41840542899865,0,mouse
8,reciprocal,7,1,85,25,W_6_H_4_D_180_Amp_409_T_0,85,0,0,6,409,1294.455282245057,180,true,true,false,false,false,false,true,1661.4996256596835,769.365077502082,6,4,18.989564042714772,12.659709361809847,367.04434341462644,769.3650775020822,6,4,18.989564042714772,12.659709361809847,1669,780,1669,780,387,783,387,783,20.04 T 23:17:57.617,20.04 T 23:17:57.716,20.04 T 23:18:00.334,20.04 T 23:18:00.447,0000099,0002717,0002830,0002618,0002731,0000113,0,1282.0035101356002,1282.0035101356002,1282.0035101356002,1282.0035101356002,0,mouse
9,reciprocal,7,1,86,26,W_6_H_4_D_180_Amp_409_T_1,85,0,1,6,409,1294.455282245057,180,false,false,true,true,true,false,true,1661.4996256596835,769.365077502082,6,4,18.989564042714772,12.659709361809847,367.04434341462644,769.3650775020822,6,4,18.989564042714772,12.659709361809847,387,783,387,783,1669,777,1669,777,20.04 T 23:18:00.334,20.04 T 23:18:00.447,20.04 T 23:18:03.135,20.04 T 23:18:03.181,0000113,0002801,0002847,0002688,0002734,0000046,0,1282.0140404847366,1282.0140404847366,1282.0140404847366,1282.0140404847366,0,mouse
10,reciprocal,7,1,87,25,W_6_H_4_D_180_Amp_409_T_0,85,0,2,6,409,1294.455282245057,180,true,true,false,false,false,false,true,1661.4996256596835,769.365077502082,6,4,18.989564042714772,12.659709361809847,367.04434341462644,769.3650775020822,6,4,18.989564042714772,12.659709361809847,1669,777,1669,777,376,784,376,784,20.04 T 23:18:03.135,20.04 T 23:18:03.181,20.04 T 23:18:04.716,20.04 T 23:18:04.782,0000046,0001581,0001647,0001535,0001601,0000066,0,1293.018948043686,1293.018948043686,1293.018948043686,1293.018948043686,0,mouse
