no,experimentType,userNumber,blockNumber,trialId,constNr,constStr,copyOfTrial,trialRep,currTravel,travelsNumber,amplitudeMM,amplitudePx,directionDegree,rect1_PressIn,rect1_ReleaseIn,rect2_PressIn,rect2_ReleaseIn,HIT,isRepetitionOfMistake,toBeRepeatedTrial,rect1_X,rect1_Y,rect1_WidthMM,rect1_HeightMM,rect1_WidthPx,rect1_HeightPx,rect2_X,rect2_Y,rect2_WidthMM,rect2_HeightMM,rect2_WidthPx,rect2_HeightPx,rect1_Press_coord_X,rect1_Press_coord_Y,rect1_Release_coord_X,rect1_Release_coord_Y,rect2_Press_coord_X,rect2_Press_coord_Y,rect2_Release_coord_X,rect2_Release_coord_Y,rect1_Press_timeT1,rect1_Release_timeT2,rect2_Press_timeT3,rect2_Release_timeT4,T2_T1_rect1_Release_rect1_Press_ms,T3_T1_rect2_Press_rect1_Press_ms,T4_T1_rect2_Release_rect1_Press_ms,T3_T2_rect2_Press_rect1_Release_ms,T4_T2_rect2_Release_rect1_Release_ms,T4_T3_rect2_Release_rect2_Press_ms,D2_D1_rect1_Release_rect1_Press_px,D3_D1_rect2_Press_rect1_Press_px,D4_D1_rect2_Release_rect1_Press_px,D3_D2_rect2_Press_rect1_Release_px,D4_D2_rect2_Release_rect1_Release_px,D4_D3_rect2_Release_rect2_Press_px,device
1,reciprocal,2,1,78,23,W_4_H_9_D_165_Amp_210_T_0,78,0,0,6,210,664.6347414950171,165,true,true,true,true,true,false,true,759.7080143977096,396.4197325598457,4,9,12.659709361809847,28.48434606407216,117.72015253871388,568.4398616955469,4,9,12.659709361809847,28.48434606407216,765,411,765,411,126,583,125,583,20.04 T 21:42:34.434,20.04 T 21:42:34.531,20.04 T 21:42:35.533,20.04 T 21:42:35.612,0000097,0001099,0001178,0001002,0001081,0000079,0,661.7439081699204,662.7095894884878,661.7439081699204,662.7095894884878,1,mouse
2,reciprocal,2,1,79,24,W_4_H_9_D_165_Amp_210_T_1,78,0,1,6,210,664.6347414950171,165,true,true,true,true,true,false,true,759.7080143977096,396.4197325598457,4,9,12.659709361809847,28.48434606407216,117.72015253871388,568.4398616955469,4,9,12.659709361809847,28.48434606407216,126,583,125,583,766,419,766,419,20.04 T 21:42:35.533,20.04 T 21:42:35.612,20.04 T 21:42:36.699,20.04 T 21:42:36.780,0000079,0001166,0001247,0001087,0001168,0000081,1,660.6784391820275,660.6784391820275,661.6471869508704,661.6471869508704,0,mouse
3,reciprocal,2,1,80,23,W_4_H_9_D_165_Amp_210_T_0,78,0,2,6,210,664.6347414950171,165,true,true,true,true,true,false,true,759.7080143977096,396.4197325598457,4,9,12.659709361809847,28.48434606407216,117.72015253871388,568.4398616955469,4,9,12.659709361809847,28.48434606407216,766,419,766,419,124,584,124,584,20.04 T 21:42:36.699,20.04 T 21:42:36.780,20.04 T 21:42:37.766,20.04 T 21:42:37.831,0000081,0001067,0001132,0000986,0001051,0000065,0,662.8642394940309,662.8642394940309,662.8642394940309,662.8642394940309,0,mouse
4,reciprocal,2,1,81,24,W_4_H_9_D_165_Amp_210_T_1,78,0,3,6,210,664.6347414950171,165,true,true,false,false,false,false,true,759.7080143977096,396.4197325598457,4,9,12.659709361809847,28.48434606407216,117.72015253871388,568.4398616955469,4,9,12.659709361809847,28.48434606407216,124,584,124,584,758,423,758,423,20.04 T 21:42:37.766,20.04 T 21:42:37.831,20.04 T 21:42:39.115,20.04 T 21:42:39.180,0000065,0001349,0001414,0001284,0001349,0000065,0,654.1230771039958,654.1230771039958,654.1230771039958,654.1230771039958,0,mouse
5,reciprocal,2,1,148,43,W_17_H_7_D_315_Amp_166_T_0,148,0,0,6,166,525.3779385151087,315,true,true,true,true,true,false,false,153.9652477599783,502.44870523003345,17,7,53.803764787691854,22.154491383167233,525.4635507698206,130.95040222019102,17,7,53.803764787691854,22.154491383167233,185,520,185,520,550,144,550,144,20.04 T 21:42:41.382,20.04 T 21:42:41.467,20.04 T 21:42:42.667,20.04 T 21:42:42.714,0000085,0001285,0001332,0001200,0001247,0000047,0,524.0238544188613,524.0238544188613,524.0238544188613,524.0238544188613,0,mouse
6,reciprocal,2,1,149,44,W_17_H_7_D_315_Amp_166_T_1,148,0,1,6,166,525.3779385151087,315,true,true,true,true,true,false,false,153.9652477599783,502.44870523003345,17,7,53.803764787691854,22.154491383167233,525.4635507698206,130.95040222019102,17,7,53.803764787691854,22.154491383167233,550,144,550,144,184,513,184,513,20.04 T 21:42:42.667,20.04 T 21:42:42.714,20.04 T 21:42:43.816,20.04 T 21:42:43.914,0000047,0001149,0001247,0001102,0001200,0000098,0,519.7278133792726,519.7278133792726,519.7278133792726,519.7278133792726,0,mouse
7,reciprocal,2,1,150,43,W_17_H_7_D_315_Amp_166_T_0,148,0,2,6,166,525.3779385151087,315,true,true,true,true,true,false,false,153.9652477599783,502.44870523003345,17,7,53.803764787691854,22.154491383167233,525.4635507698206,130.95040222019102,17,7,53.803764787691854,22.154491383167233,184,513,184,513,561,142,561,142,20.04 T 21:42:43.816,20.04 T 21:42:43.914,20.04 T 21:42:44.753,20.04 T 21:42:44.848,0000098,0000937,0001032,0000839,0000934,0000095,0,528.9328879924182,528.9328879924182,528.9328879924182,528.9328879924182,0,mouse
8,reciprocal,2,1,151,44,W_17_H_7_D_315_Amp_166_T_1,148,0,3,6,166,525.3779385151087,315,true,true,true,true,true,false,false,153.9652477599783,502.44870523003345,17,7,53.803764787691854,22.154491383167233,525.4635507698206,130.95040222019102,17,7,53.803764787691854,22.154491383167233,561,142,561,142,176,513,176,513,20.04 T 21:42:44.753,20.04 T 21:42:44.848,20.04 T 21:42:45.917,20.04 T 21:42:46.014,0000095,0001164,0001261,0001069,0001166,0000097,0,534.6643807099927,534.6643807099927,534.6643807099927,534.6643807099927,0,mouse
9,reciprocal,2,1,152,43,W_17_H_7_D_315_Amp_166_T_0,148,0,4,6,166,525.3779385151087,315,true,true,true,true,true,false,false,153.9652477599783,502.44870523003345,17,7,53.803764787691854,22.154491383167233,525.4635507698206,130.95040222019102,17,7,53.803764787691854,22.154491383167233,176,513,176,513,563,151,563,151,20.04 T 21:42:45.917,20.04 T 21:42:46.014,20.04 T 21:42:47.766,20.04 T 21:42:47.831,0000097,0001849,0001914,0001752,0001817,0000065,0,529.9179181722392,529.9179181722392,529.9179181722392,529.9179181722392,0,mouse
10,reciprocal,2,1,153,44,W_17_H_7_D_315_Amp_166_T_1,148,0,5,6,166,525.3779385151087,315,true,true,true,true,true,false,false,153.9652477599783,502.44870523003345,17,7,53.803764787691854,22.154491383167233,525.4635507698206,130.95040222019102,17,7,53.803764787691854,22.154491383167233,563,151,563,151,181,518,181,518,20.04 T 21:42:47.766,20.04 T 21:42:47.831,20.04 T 21:42:48.666,20.04 T 21:42:48.763,0000065,0000900,0000997,0000835,0000932,0000097,0,529.7291760890654,529.7291760890654,529.7291760890654,529.7291760890654,0,mouse
11,reciprocal,2,1,154,43,W_17_H_7_D_315_Amp_166_T_0,148,0,6,6,166,525.3779385151087,315,true,true,true,true,true,false,false,153.9652477599783,502.44870523003345,17,7,53.803764787691854,22.154491383167233,525.4635507698206,130.95040222019102,17,7,53.803764787691854,22.154491383167233,181,518,181,518,560,142,560,142,20.04 T 21:42:48.666,20.04 T 21:42:48.763,20.04 T 21:42:49.583,20.04 T 21:42:49.631,0000097,0000917,0000965,0000820,0000868,0000048,0,533.8698343229369,533.8698343229369,533.8698343229369,533.8698343229369,0,mouse
12,reciprocal,2,1,71,21,W_5_H_10_D_150_Amp_400_T_0,71,0,0,6,400,1265.9709361809848,150,true,true,true,true,true,false,false,1432.4565596244265,233.53300423176825,5,10,15.82463670226231,31.64927340452462,336.09356843892544,866.5184723222605,5,10,15.82463670226231,31.64927340452462,1441,258,1441,258,346,886,346,886,20.04 T 21:42:52.717,20.04 T 21:42:52.780,20.04 T 21:42:54.099,20.04 T 21:42:54.198,0000063,0001382,0001481,0001319,0001418,0000099,0,1262.3030539454462,1262.3030539454462,1262.3030539454462,1262.3030539454462,0,mouse
13,reciprocal,2,1,72,22,W_5_H_10_D_150_Amp_400_T_1,71,0,1,6,400,1265.9709361809848,150,true,true,true,true,true,false,false,1432.4565596244265,233.53300423176825,5,10,15.82463670226231,31.64927340452462,336.09356843892544,866.5184723222605,5,10,15.82463670226231,31.64927340452462,346,886,346,886,1441,253,1441,253,20.04 T 21:42:54.099,20.04 T 21:42:54.198,20.04 T 21:42:55.415,20.04 T 21:42:55.549,0000099,0001316,0001450,0001217,0001351,0000134,0,1264.7980075885635,1264.7980075885635,1264.7980075885635,1264.7980075885635,0,mouse
14,reciprocal,2,1,73,21,W_5_H_10_D_150_Amp_400_T_0,71,0,2,6,400,1265.9709361809848,150,true,true,true,true,true,false,false,1432.4565596244265,233.53300423176825,5,10,15.82463670226231,31.64927340452462,336.09356843892544,866.5184723222605,5,10,15.82463670226231,31.64927340452462,1441,253,1441,253,346,891,346,891,20.04 T 21:42:55.415,20.04 T 21:42:55.549,20.04 T 21:42:56.865,20.04 T 21:42:56.964,0000134,0001450,0001549,0001316,0001415,0000099,0,1267.307776351112,1267.307776351112,1267.307776351112,1267.307776351112,0,mouse
15,reciprocal,2,1,74,22,W_5_H_10_D_150_Amp_400_T_1,71,0,3,6,400,1265.9709361809848,150,true,true,true,true,true,false,false,1432.4565596244265,233.53300423176825,5,10,15.82463670226231,31.64927340452462,336.09356843892544,866.5184723222605,5,10,15.82463670226231,31.64927340452462,346,891,346,891,1444,258,1444,258,20.04 T 21:42:56.865,20.04 T 21:42:56.964,20.04 T 21:42:58.366,20.04 T 21:42:58.464,0000099,0001501,0001599,0001402,0001500,0000098,0,1267.3961495917526,1267.3961495917526,1267.3961495917526,1267.3961495917526,0,mouse
16,reciprocal,2,1,75,21,W_5_H_10_D_150_Amp_400_T_0,71,0,4,6,400,1265.9709361809848,150,true,true,true,true,true,false,false,1432.4565596244265,233.53300423176825,5,10,15.82463670226231,31.64927340452462,336.09356843892544,866.5184723222605,5,10,15.82463670226231,31.64927340452462,1444,258,1444,258,346,895,346,895,20.04 T 21:42:58.366,20.04 T 21:42:58.464,20.04 T 21:42:59.767,20.04 T 21:42:59.881,0000098,0001401,0001515,0001303,0001417,0000114,0,1269.3986765394077,1269.3986765394077,1269.3986765394077,1269.3986765394077,0,mouse
